Lat,Lon,Name,Borough,Ride.Count
40.6692,-73.8119,ST ANTHONY OF PADUA CHURCH,4.0,6118
40.7139,-74.0149,AMERICAN EXPRESS TOWER 200 VESEY ST,1.0,6113
40.7554,-73.9975,METROPOLITAN COMMUNITY CHURCH,1.0,6107
40.7224,-74.0029,DRAWING CENTER,1.0,6092
40.6779,-73.9526,BETH EL METHODIST CHURCH,3.0,6079
40.7148,-73.9424,MEMORIAL GORE MONUMENT,3.0,6042
40.7478,-74.0062,DIA ART FOUNDATION CHELSEA GALLERY,1.0,6012
40.7526,-73.9889,HORTICULTURAL SOCIETY OF NEW YORK,1.0,5976
40.7457,-73.9883,ACE HOTEL,1.0,5971
40.741,-73.9874,METROPOLITAN LIFE TOWER,1.0,5874
40.76,-73.9732,ELYSEE HOTEL,1.0,5831
40.7254,-74.0054,TRUMP SOHO HOTEL,1.0,5756
40.7535,-74.0039,HIGH LINE 11 AVE ENTRANCE,1.0,5727
40.7422,-74.0048,CHELSEA MARKET,1.0,5724
40.7436,-74.0067,SOULCYCLE CHELSEA,1.0,5621
40.6741,-73.9888,THIRD AVENUE OVER GOWANUS CANAL,3.0,5590
40.7433,-74.007,HIGH LINE W 16 ST ENTRANCE,1.0,5555
40.7259,-73.9942,BLEECKER STREET THEATRE,1.0,5534
40.7192,-73.9993,FEDERAL PARKING HOWARD STREET GARAGE,1.0,5504
40.7222,-73.9896,HERNANDEZ HOUSES MAIN BUILDING,1.0,5482
40.729,-73.9539,FORNINO RESTAURANT GREENPOINT,3.0,5467
40.7324,-74.0084,MANDELL SCHOOL PRE SCHOOL WEST VILLAGE,1.0,5347
40.7245,-73.9954,NEW YORK UNIVERSITY WAGNER SCHOOL OF PUBLIC SERVICE,1.0,5335
40.7594,-73.9749,OMNI BERKSHIRE PLACE HOTEL,1.0,5330
40.7772,-73.9484,ST JOSEPH CHURCH YORKVILLE,1.0,5326
40.722,-74.0044,SOHO GRAND HOTEL,1.0,5309
40.7452,-73.9763,GERALDINE SCHOTTENSTEIN CULTURAL CENTER,1.0,5306
40.6741,-73.9965,9,3.0,5298
40.7636,-73.971,HOSPITAL FOR SPECIAL SURGERY INTEGRATIVE CARE CENTER,1.0,5288
40.7416,-73.9987,OLD CHELSEA POST OFFICE,1.0,5276
40.723,-73.9933,INTERNATIONAL CENTER OF PHOTOGRAPHY MUSEUM,1.0,5257
40.7386,-73.989,THEODORE ROOSEVELT BIRTHPLACE,1.0,5242
40.7647,-73.9774,QUIN HOTEL,1.0,5236
40.7754,-73.9582,ALL SOULS SCHOOL,1.0,5189
40.6759,-73.9747,BROOKLYN CONSERVATORY OF MUSIC,3.0,5152
40.7465,-73.9186,HOLY MOUNTAIN PRESCHOOL SKILLMAN AVE,4.0,5122
40.7554,-73.9842,BANK OF AMERICA TOWER,1.0,5108
