,Statewide,Upstate,Downstate,NYC,Metric,Rides
109,382.8,379.5,385.8,369.9,Total Rides,25726.0
110,382.8,379.5,385.8,369.9,Total Rides,21212.0
111,382.8,379.5,385.8,369.9,Total Rides,23578.0
112,378.5,374.8,381.9,363.9,Total Rides,29029.0
113,378.5,374.8,381.9,363.9,Total Rides,34073.0
114,378.5,374.8,381.9,363.9,Total Rides,32050.0
115,378.5,374.8,381.9,363.9,Total Rides,29975.0
116,378.5,374.8,381.9,363.9,Total Rides,27708.0
117,378.5,374.8,381.9,363.9,Total Rides,22590.0
118,378.5,374.8,381.9,363.9,Total Rides,23981.0
119,375.2,372.7,377.5,360.3,Total Rides,27589.0
120,375.2,372.7,377.5,360.3,Total Rides,30740.0
121,375.2,372.7,377.5,360.3,Total Rides,33541.0
122,375.2,372.7,377.5,360.3,Total Rides,32353.0
123,375.2,372.7,377.5,360.3,Total Rides,28678.0
124,375.2,372.7,377.5,360.3,Total Rides,23146.0
125,375.2,372.7,377.5,360.3,Total Rides,24952.0
126,370.6,368.8,372.3,356.2,Total Rides,28094.0
127,370.6,368.8,372.3,356.2,Total Rides,30495.0
128,370.6,368.8,372.3,356.2,Total Rides,32759.0
129,370.6,368.8,372.3,356.2,Total Rides,30411.0
130,370.6,368.8,372.3,356.2,Total Rides,26286.0
131,370.6,368.8,372.3,356.2,Total Rides,20584.0
132,370.6,368.8,372.3,356.2,Total Rides,22632.0
133,368.5,367.8,369.1,350.9,Total Rides,29646.0
134,368.5,367.8,369.1,350.9,Total Rides,29788.0
135,368.5,367.8,369.1,350.9,Total Rides,30457.0
136,368.5,367.8,369.1,350.9,Total Rides,28974.0
137,368.5,367.8,369.1,350.9,Total Rides,26234.0
138,368.5,367.8,369.1,350.9,Total Rides,21209.0
139,368.5,367.8,369.1,350.9,Total Rides,21956.0
140,364.4,365.1,363.8,347.9,Total Rides,24834.0
141,364.4,365.1,363.8,347.9,Total Rides,27955.0
142,364.4,365.1,363.8,347.9,Total Rides,32304.0
143,364.4,365.1,363.8,347.9,Total Rides,29512.0
144,364.4,365.1,363.8,347.9,Total Rides,27097.0
145,364.4,365.1,363.8,347.9,Total Rides,22036.0
146,364.4,365.1,363.8,347.9,Total Rides,22093.0
147,362.9,363.4,362.5,346.7,Total Rides,24550.0
148,362.9,363.4,362.5,346.7,Total Rides,27018.0
149,362.9,363.4,362.5,346.7,Total Rides,28597.0
150,362.9,363.4,362.5,346.7,Total Rides,27424.0
151,362.9,363.4,362.5,346.7,Total Rides,23930.0
152,362.9,363.4,362.5,346.7,Total Rides,23271.0
153,362.9,363.4,362.5,346.7,Total Rides,19961.0
154,362.8,363.4,362.3,347.5,Total Rides,28831.0
155,362.8,363.4,362.3,347.5,Total Rides,32631.0
156,362.8,363.4,362.3,347.5,Total Rides,38360.0
157,362.8,363.4,362.3,347.5,Total Rides,42319.0
158,362.8,363.4,362.3,347.5,Total Rides,40520.0
159,362.8,363.4,362.3,347.5,Total Rides,30134.0
160,362.8,363.4,362.3,347.5,Total Rides,30360.0
161,360.2,359.8,360.7,344.5,Total Rides,34560.0
162,360.2,359.8,360.7,344.5,Total Rides,35910.0
163,360.2,359.8,360.7,344.5,Total Rides,36439.0
164,360.2,359.8,360.7,344.5,Total Rides,39540.0
165,360.2,359.8,360.7,344.5,Total Rides,43205.0
166,360.2,359.8,360.7,344.5,Total Rides,28122.0
167,360.2,359.8,360.7,344.5,Total Rides,29454.0
168,354.8,356.4,353.4,338.2,Total Rides,36092.0
169,354.8,356.4,353.4,338.2,Total Rides,35531.0
170,354.8,356.4,353.4,338.2,Total Rides,40274.0
171,354.8,356.4,353.4,338.2,Total Rides,41017.0
172,354.8,356.4,353.4,338.2,Total Rides,38864.0
173,354.8,356.4,353.4,338.2,Total Rides,28620.0
174,354.8,356.4,353.4,338.2,Total Rides,28312.0
175,353.8,354.9,352.8,335.7,Total Rides,30316.0
176,353.8,354.9,352.8,335.7,Total Rides,31301.0
177,353.8,354.9,352.8,335.7,Total Rides,38203.0
178,353.8,354.9,352.8,335.7,Total Rides,37504.0
179,353.8,354.9,352.8,335.7,Total Rides,39468.0
180,353.8,354.9,352.8,335.7,Total Rides,29656.0
181,353.8,354.9,352.8,335.7,Total Rides,29201.0
182,352.1,349.4,354.5,335.3,Total Rides,33431.0
183,374.3,373.2,375.4,359.4,7-Day Average Rides,14546.0
184,374.3,373.2,375.4,359.4,7-Day Average Rides,16010.0
185,374.3,373.2,375.4,359.4,7-Day Average Rides,17573.666666666668
186,374.3,373.2,375.4,359.4,7-Day Average Rides,19858.75
187,374.3,373.2,375.4,359.4,7-Day Average Rides,19791.2
188,374.3,373.2,375.4,359.4,7-Day Average Rides,18733.5
189,374.3,373.2,375.4,359.4,7-Day Average Rides,18850.14285714286
190,375.3,375.0,375.6,360.3,7-Day Average Rides,19084.714285714286
191,375.3,375.0,375.6,360.3,7-Day Average Rides,18994.571428571428
192,375.3,375.0,375.6,360.3,7-Day Average Rides,18900.285714285717
193,375.3,375.0,375.6,360.3,7-Day Average Rides,18001.14285714286
194,375.3,375.0,375.6,360.3,7-Day Average Rides,17808.14285714286
195,375.3,375.0,375.6,360.3,7-Day Average Rides,17617.714285714286
196,375.3,375.0,375.6,360.3,7-Day Average Rides,16635.428571428572
197,381.2,380.4,381.9,368.1,7-Day Average Rides,17271.571428571428
198,381.2,380.4,381.9,368.1,7-Day Average Rides,17396.428571428572
199,381.2,380.4,381.9,368.1,7-Day Average Rides,17529.571428571428
200,381.2,380.4,381.9,368.1,7-Day Average Rides,17194.428571428572
201,381.2,380.4,381.9,368.1,7-Day Average Rides,16684.714285714286
202,381.2,380.4,381.9,368.1,7-Day Average Rides,16528.285714285714
203,381.2,380.4,381.9,368.1,7-Day Average Rides,16598.0
204,388.7,383.4,393.6,377.5,7-Day Average Rides,16074.285714285714
205,388.7,383.4,393.6,377.5,7-Day Average Rides,16449.85714285714
206,388.7,383.4,393.6,377.5,7-Day Average Rides,16789.714285714286
207,388.7,383.4,393.6,377.5,7-Day Average Rides,17792.714285714286
208,388.7,383.4,393.6,377.5,7-Day Average Rides,19267.42857142857
209,388.7,383.4,393.6,377.5,7-Day Average Rides,19790.285714285717
210,388.7,383.4,393.6,377.5,7-Day Average Rides,20120.714285714286
211,388.6,384.4,392.5,375.3,7-Day Average Rides,20957.85714285714
212,388.6,384.4,392.5,375.3,7-Day Average Rides,23230.0
213,388.6,384.4,392.5,375.3,7-Day Average Rides,23233.285714285717
214,388.6,384.4,392.5,375.3,7-Day Average Rides,23110.42857142857
215,388.6,384.4,392.5,375.3,7-Day Average Rides,22726.0
216,388.6,384.4,392.5,375.3,7-Day Average Rides,22617.571428571428
217,388.6,384.4,392.5,375.3,7-Day Average Rides,22958.14285714286
218,387.2,383.6,390.5,373.2,7-Day Average Rides,22453.14285714286
219,387.2,383.6,390.5,373.2,7-Day Average Rides,20401.714285714286
220,387.2,383.6,390.5,373.2,7-Day Average Rides,20992.85714285714
221,387.2,383.6,390.5,373.2,7-Day Average Rides,21300.0
222,387.2,383.6,390.5,373.2,7-Day Average Rides,21345.14285714286
